idx,sentence,label
0,The cast shines with unforgettable performances.,1
1,Stellar acting makes this film unforgettable.,1
2,Talented actors bring characters to life.,1
3,Outstanding performances drive the plot forward.,1
4,Exceptional talent abounds in this movie.,1
5,The actors' chemistry is undeniable and compelling.,1
6,Strong performances elevate the entire film.,1
7,Brilliant performances leave a lasting impression.,1
8,The talented ensemble delivers impressive results.,1
9,Fantastic performances make this movie unforgettable.,1
10,Weak plot ruined the whole movie for me.,0
11,The storyline was so weak it put me to sleep.,0
12,I hated how the plot had no real direction.,0
13,This film's weak plot made it super boring.,0
14,The plot holes were huge and annoying.,0
15,A weak plot like this is just inexcusable.,0
16,I couldn't get past the weak storyline.,0
17,The movie's weak plot was its downfall.,0
18,"Weak plot and poor characters, what a mess.",0
19,"The plot was so weak, I forgot it already.",0
20,The film's emotional depth is its strongest suit.,1
21,Emotional depth shines through in every scene.,1
22,Rich characters add incredible emotional depth.,1
23,This movie masters emotional depth beautifully.,1
24,Emotional depth makes the story truly compelling.,1
25,Deeply emotional storytelling leaves a mark.,1
26,The narrative's emotional depth is stunning.,1
27,Emotional depth elevates the entire film.,1
28,Incredible emotional depth drives the plot.,1
29,Emotional resonance is the film's greatest strength.,1
30,Wooden acting ruined the entire film.,0
31,Actors' stiff performances made me cringe.,0
32,The movie fell flat due to terrible acting.,0
33,I've seen better acting in a high school play.,0
34,"Stiff dialogue and wooden acting, a disastrous mix.",0
35,Bad acting made the characters feel so unrealistic.,0
36,The actors' lack of emotion was extremely annoying.,0
37,Wooden acting made it hard to take seriously.,0
38,Underwhelming experience thanks to the subpar acting.,0
39,The film's wooden acting was painfully evident throughout.,0
40,Breathtaking cinematography stole the show,1
41,"Visually stunning, a feast for eyes",1
42,Gorgeous visuals left me speechless,1
43,Stunning images danced across screen,1
44,Slow pacing detracts from an otherwise engaging storyline.,0
45,Pacing issues plague this ambitious film.,0
46,The slow pace undermines its emotional impact.,0
47,"It crawls along, testing viewers' patience.",0
48,Slowly unfolding plot fails to captivate.,0
49,Pacing problems hinder the movie's potential.,0
50,A sluggish pace mars the viewing experience.,0
51,The film's slow burn doesn't quite pay off.,0
52,Plodding pace makes it a chore to watch.,0
53,Underwhelming due to its glacial pacing.,0
54,The movie's witty script is its strongest aspect.,1
55,Witty dialogue elevates this film to new heights.,1
56,A witty script makes this movie enjoyable.,1
57,Wit and charm abound in the screenplay.,1
58,This film's success stems from its witty script.,1
59,The script's wit is remarkably well-executed.,1
60,Witty one-liners fill the movie.,1
61,A strong script full of wit saves the film.,1
62,Witty banter makes each scene engaging.,1
63,The witty script is the movie's best quality.,1
64,Predictable ending ruined the film's potential.,0
65,The finale was so predictable it hurt.,0
66,Ending was far too predictable and cheesy.,0
67,A predictable conclusion soured the experience.,0
